id,question,answer,description,tag,cues_facial,cues_hands,cues_posture,cues_legs
INT-011,Did you contact the informant?,"No, I don’t know them.","Intermediate tactic: Testing loyalty in counterintelligence op. Setting: safe house, tense atmosphere.",culprit,"Avoids eye contact, furrowed brow",Rubbing neck,"Slouched, arms crossed",Tapping foot
INT-012,What’s the code word?,I wasn’t given one.,"Advanced tactic: Verification in covert op. Setting: field interrogation, high stakes.",culprit,"Blank stare, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-013,Why were you off comms?,"Equipment malfunction, I reported it.","Basic tactic: Post-mission debrief, equipment failure probe. Setting: base ops room, neutral tone.",genuine,"Calm, steady eye contact","Open, resting on table","Upright, attentive","Still, feet flat"
INT-014,Who else was involved?,"It was just me, no one else.","Intermediate tactic: Isolating conspirators in sabotage case. Setting: detention center, moderate pressure.",culprit,"Quick glance down, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shifting rapidly
INT-015,What’s the target’s location?,I don’t have that information.,"Advanced tactic: Strategic intel extraction in hostage crisis. Setting: command center, urgent tone.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-016,Did you follow protocol?,"Yes, everything by the book.","Basic tactic: Compliance check post-operation. Setting: debrief room, neutral tone.",genuine,"Relaxed, consistent eye contact",Resting calmly,"Upright, engaged","Uncrossed, still"
INT-017,What’s your connection to the group?,I’ve never heard of them.,"Intermediate tactic: Probing affiliations in terrorism case. Setting: interrogation room, high tension.",culprit,"Avoids eye contact, slight smirk",Clenching fists,"Leaning back, defensive",Tapping rapidly
INT-018,Can you decrypt this message?,I’m not trained for that.,"Advanced tactic: Testing technical skills in cyber espionage. Setting: secure facility, confrontational.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-019,Why were you in the restricted zone?,"I got lost, honest mistake.","Unconventional tactic: Feigned empathy in trespassing case. Setting: base perimeter, deceptive calm.",culprit,"Forced smile, quick glance away",Fidgeting with ID card,"Slouched, overly casual",Shuffling feet
INT-020,What was your assignment?,"Standard patrol, nothing special.","Basic tactic: Routine debrief after patrol. Setting: field base, neutral tone.",genuine,"Calm, open expression",Resting on knees,"Upright, attentive","Still, feet flat"
INT-021,Did you leak the plans?,"No, I’d never do that.","Intermediate tactic: Loyalty test in data breach case. Setting: secure office, moderate pressure.",culprit,"Avoids eye contact, pursed lips",Rubbing hands together,"Slouched, arms crossed",Tapping foot
INT-022,What’s the extraction plan?,I don’t know any details.,"Advanced tactic: Probing covert operative in rescue op. Setting: black site, high stakes.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Symmetrical, still"
INT-023,Were you at the meeting?,"Yes, but it was routine.","Basic tactic: Verifying attendance in internal review. Setting: conference room, low pressure.",genuine,"Relaxed, steady gaze",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-024,Who’s your handler?,"I work alone, no handler.","Unconventional tactic: Psychological pressure in espionage case. Setting: undisclosed location, intense scrutiny.",culprit,"Blank stare, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-025,Did you complete the mission?,"Yes, as ordered.","Basic tactic: Post-mission debrief, success verification. Setting: command post, neutral tone.",genuine,"Calm, consistent eye contact",Resting on table,"Upright, attentive","Still, feet flat"
INT-026,What’s the source of the funds?,"Just my savings, nothing else.","Intermediate tactic: Financial probe in laundering case. Setting: police station, moderate pressure.",culprit,"Forced smile, rapid blinking",Fidgeting with watch,"Slouched, defensive",Shuffling feet
INT-027,Did you plant the device?,"No, I don’t know anything about it.","Advanced tactic: Direct accusation in sabotage case. Setting: detention center, confrontational.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-028,What’s your cover story?,I’m just a tourist.,"Unconventional tactic: Testing deception in covert op. Setting: airport, deceptive calm.",culprit,"Overly neutral, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-029,Did you file the report?,"Yes, it’s on record.","Basic tactic: Administrative check post-operation. Setting: office, neutral tone.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-030,Who did you meet last night?,"No one, I was alone.","Intermediate tactic: Probing contacts in surveillance case. Setting: interrogation room, moderate pressure.",culprit,"Avoids eye contact, furrowed brow",Rubbing neck,"Slouched, defensive",Tapping foot
INT-031,What’s the target’s weakness?,I don’t have that intel.,"Advanced tactic: Strategic probing in counterterrorism op. Setting: secure facility, high stakes.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-032,Did you follow the route?,"Yes, exactly as planned.","Basic tactic: Route verification post-patrol. Setting: field base, neutral tone.",genuine,"Calm, steady eye contact",Resting on knees,"Upright, attentive","Still, feet flat"
INT-033,Are you working with them?,"No, I’m loyal.","Intermediate tactic: Loyalty test in insider threat case. Setting: secure office, tense atmosphere.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, arms crossed",Shifting rapidly
INT-034,What’s the signal?,I wasn’t given one.,"Advanced tactic: Signal verification in covert op. Setting: black site, confrontational.",culprit,"Blank stare, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-035,Why were you delayed?,"Traffic, nothing unusual.","Basic tactic: Routine debrief after late arrival. Setting: base ops room, neutral tone.",genuine,"Relaxed, consistent eye contact","Open, resting on table","Upright, engaged","Relaxed, uncrossed"
INT-036,Did you tamper with the evidence?,"No, it’s untouched.","Intermediate tactic: Evidence integrity probe in theft case. Setting: police station, moderate pressure.",culprit,"Avoids eye contact, slight smirk",Rubbing hands together,"Slouched, defensive",Tapping foot
INT-037,Who’s funding the op?,I don’t know any details.,"Advanced tactic: Financial trail probe in espionage case. Setting: secure facility, high stakes.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-038,What’s your alibi?,I was at a friend’s house.,"Basic tactic: Alibi check in vandalism case. Setting: police station, low pressure.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-039,Did you bypass security?,"No, I followed protocol.","Intermediate tactic: Security breach investigation. Setting: secure facility, moderate pressure.",culprit,"Quick glance down, pursed lips",Fidgeting with pen,"Slouched, defensive",Shuffling feet
INT-040,What’s the plan’s timeline?,I’m not privy to that.,"Advanced tactic: Operational probe in sabotage case. Setting: black site, confrontational.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Rigid, leaning back","Crossed, twitching"
INT-041,Did you report the incident?,"Yes, immediately.","Basic tactic: Incident response check. Setting: command post, neutral tone.",genuine,"Relaxed, steady gaze",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-042,Who’s your contact?,I don’t have one.,"Unconventional tactic: Psychological pressure in espionage case. Setting: undisclosed location, intense scrutiny.",culprit,"Blank stare, slight sweat",Clenched under table,Overly composed,"Still, aligned"
INT-043,Why were you at the site?,Just routine inspection.,"Basic tactic: Routine check in facility breach. Setting: base ops room, neutral tone.",genuine,"Calm, consistent eye contact","Open, resting on knees","Upright, attentive","Still, feet flat"
INT-044,Did you alter the logs?,"No, they’re clean.","Intermediate tactic: Data integrity probe in cyber case. Setting: secure office, moderate pressure.",culprit,"Avoids eye contact, furrowed brow",Rubbing neck,"Slouched, arms crossed",Tapping foot
INT-045,What’s the target’s route?,I don’t know their movements.,"Advanced tactic: Intel extraction in ambush case. Setting: command center, high stakes.",culprit,"Neutral, rapid blinking",Hidden under table,"Rigid, leaning away",Crossed tightly
INT-046,Did you secure the perimeter?,"Yes, all clear.","Basic tactic: Post-patrol debrief. Setting: field base, neutral tone.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-047,Are you hiding anything?,"No, I’m an open book.","Intermediate tactic: General probe in theft case. Setting: police station, moderate pressure.",culprit,"Forced smile, quick glance away",Fidgeting with sleeve,"Slouched, defensive",Shuffling feet
INT-048,What’s the encryption key?,I wasn’t given one.,"Advanced tactic: Technical probe in cyber espionage. Setting: secure facility, confrontational.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back","Crossed, twitching"
INT-049,Did you see anything unusual?,"No, everything was normal.","Basic tactic: Witness debrief in incident review. Setting: field office, low pressure.",genuine,"Calm, steady eye contact",Resting on table,"Upright, attentive","Still, feet flat"
INT-050,Who’s your source?,I don’t have any sources.,"Unconventional tactic: Deceptive probing in leaks case. Setting: undisclosed location, intense scrutiny.",culprit,"Overly neutral, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-051,Did you complete the task?,"Yes, as instructed.","Basic tactic: Task verification post-mission. Setting: command post, neutral tone.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-052,Did you meet the contact?,"No, I was alone.","Intermediate tactic: Contact probe in espionage case. Setting: safe house, moderate pressure.",culprit,"Avoids eye contact, pursed lips",Rubbing hands together,"Slouched, defensive",Tapping foot
INT-053,What’s the operation’s goal?,I’m not in the loop.,"Advanced tactic: Strategic probe in covert op. Setting: black site, high stakes.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-054,Did you log your hours?,"Yes, all recorded.","Basic tactic: Administrative check post-shift. Setting: office, neutral tone.",genuine,"Calm, consistent eye contact",Resting on knees,"Upright, attentive","Still, feet flat"
INT-055,Did you sabotage the system?,"No, I’d never do that.","Intermediate tactic: Sabotage probe in cyber case. Setting: secure office, moderate pressure.",culprit,"Quick glance away, tense lips",Fidgeting with pen,"Slouched, arms crossed",Shuffling feet
INT-056,Who’s the target?,I don’t know any targets.,"Advanced tactic: Target identification in counterterrorism op. Setting: command center, confrontational.",culprit,"Tense jaw, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-057,Did you follow orders?,"Yes, to the letter.","Basic tactic: Compliance check post-mission. Setting: field base, neutral tone.",genuine,"Relaxed, steady gaze","Open, resting on table","Upright, engaged","Relaxed, uncrossed"
INT-058,What’s in the safe?,I don’t have access.,"Intermediate tactic: Probing access in theft case. Setting: police station, moderate pressure.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot
INT-059,What’s the rendezvous point?,I wasn’t told.,"Advanced tactic: Operational probe in covert op. Setting: black site, high stakes.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-060,Did you check the perimeter?,"Yes, all secure.","Basic tactic: Perimeter check debrief. Setting: base ops room, neutral tone.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-061,Did you leak the intel?,"No, I’m loyal.","Intermediate tactic: Loyalty test in data breach case. Setting: secure office, moderate pressure.",culprit,"Quick glance down, pursed lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling feet
INT-062,What’s the device’s purpose?,I don’t know anything about it.,"Advanced tactic: Device probe in sabotage case. Setting: detention center, confrontational.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-063,Did you attend the briefing?,"Yes, standard procedure.","Basic tactic: Attendance verification. Setting: command post, neutral tone.",genuine,"Relaxed, consistent eye contact",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-064,Who’s your accomplice?,I work alone.,"Unconventional tactic: Psychological pressure in conspiracy case. Setting: undisclosed location, intense scrutiny.",culprit,"Blank stare, rapid blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-065,Did you file the paperwork?,"Yes, it’s all submitted.","Basic tactic: Administrative check post-operation. Setting: office, neutral tone.",genuine,"Calm, steady gaze",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-066,Did you hack the system?,"No, I don’t have the skills.","Intermediate tactic: Cyber breach probe. Setting: secure facility, moderate pressure.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot
INT-067,What’s the mission’s objective?,I’m not cleared for that.,"Advanced tactic: Strategic probe in covert op. Setting: black site, high stakes.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-068,Did you secure the asset?,"Yes, it’s safe.","Basic tactic: Asset protection debrief. Setting: field base, neutral tone.",genuine,"Relaxed, open expression",Resting on knees,"Upright, engaged","Relaxed, uncrossed"
INT-069,Did you plant the evidence?,"No, that’s not me.","Intermediate tactic: Evidence tampering probe. Setting: police station, moderate pressure.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling feet
INT-070,What’s the target’s identity?,I don’t know them.,"Advanced tactic: Target probe in counterterrorism op. Setting: command center, confrontational.",culprit,"Tense jaw, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-071,Did you complete the patrol?,"Yes, no issues.","Basic tactic: Patrol debrief. Setting: base ops room, neutral tone.",genuine,"Calm, consistent eye contact","Open, resting on table","Upright, attentive","Still, feet flat"
INT-072,Are you a double agent?,"No, I’m loyal.","Unconventional tactic: Psychological pressure in espionage case. Setting: undisclosed location, intense scrutiny.",culprit,"Blank stare, slight sweat","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-073,Did you log the incident?,"Yes, it’s documented.","Basic tactic: Incident reporting check. Setting: command post, neutral tone.",genuine,"Relaxed, steady gaze",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-074,Did you access the vault?,"No, I don’t have the code.","Intermediate tactic: Access probe in theft case. Setting: secure facility, moderate pressure.",culprit,"Avoids eye contact, pursed lips",Rubbing neck,"Slouched, defensive",Tapping foot
INT-075,What’s the extraction code?,I wasn’t given one.,"Advanced tactic: Code verification in covert op. Setting: black site, high stakes.",culprit,"Neutral, rapid blinking",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-076,Did you inspect the gear?,"Yes, all checked.","Basic tactic: Equipment check debrief. Setting: field base, neutral tone.",genuine,"Calm, open expression",Resting on table,"Upright, attentive","Still, feet flat"
INT-077,Did you leak the plans?,"No, I’d never do that.","Intermediate tactic: Leak probe in sabotage case. Setting: secure office, moderate pressure.",culprit,"Quick glance away, tense lips",Fidgeting with pen,"Slouched, arms crossed",Shuffling feet
INT-078,What’s the target’s location?,I don’t have that intel.,"Advanced tactic: Intel extraction in hostage crisis. Setting: command center, confrontational.",culprit,"Tense, slight sweat",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-079,Did you follow the schedule?,"Yes, on time.","Basic tactic: Schedule compliance check. Setting: base ops room, neutral tone.",genuine,"Relaxed, consistent eye contact","Open, resting on knees","Upright, engaged","Relaxed, uncrossed"
INT-080,Who’s your contact?,I don’t have one.,"Unconventional tactic: Deceptive probing in espionage case. Setting: undisclosed location, intense scrutiny.",culprit,"Overly neutral, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-081,Did you secure the area?,"Yes, all clear.","Basic tactic: Area security debrief. Setting: field base, neutral tone.",genuine,"Calm, steady gaze",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-082,Did you alter the data?,"No, it’s untouched.","Intermediate tactic: Data integrity probe in cyber case. Setting: secure office, moderate pressure.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot
INT-083,What’s the target’s plan?,I don’t know their plans.,"Advanced tactic: Strategic probe in counterterrorism op. Setting: command center, high stakes.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-084,Did you report to base?,"Yes, immediately.","Basic tactic: Communication check post-mission. Setting: command post, neutral tone.",genuine,"Relaxed, open expression",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-085,Did you meet the informant?,"No, I don’t know them.","Intermediate tactic: Informant probe in espionage case. Setting: safe house, moderate pressure.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling feet
INT-086,What’s the signal phrase?,I wasn’t told one.,"Advanced tactic: Signal verification in covert op. Setting: black site, confrontational.",culprit,"Tense jaw, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-087,Did you check the logs?,"Yes, all clean.","Basic tactic: Log verification debrief. Setting: base ops room, neutral tone.",genuine,"Calm, consistent eye contact","Open, resting on knees","Upright, attentive","Still, feet flat"
INT-088,Are you involved in the plot?,"No, I’m not involved.","Intermediate tactic: Conspiracy probe in terrorism case. Setting: detention center, moderate pressure.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot
INT-089,What’s the device’s code?,I don’t know any codes.,"Advanced tactic: Device probe in sabotage case. Setting: secure facility, high stakes.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-090,Did you patrol the sector?,"Yes, no issues.","Basic tactic: Patrol debrief. Setting: field base, neutral tone.",genuine,"Relaxed, steady gaze",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-091,Did you leak the location?,"No, I’d never do that.","Intermediate tactic: Leak probe in security breach case. Setting: secure office, moderate pressure.",culprit,"Quick glance down, pursed lips",Fidgeting with pen,"Slouched, arms crossed",Shuffling feet
INT-092,What’s the target’s route?,I don’t know their route.,"Advanced tactic: Route probe in ambush case. Setting: command center, confrontational.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-093,Did you secure the comms?,"Yes, all encrypted.","Basic tactic: Comms check debrief. Setting: base ops room, neutral tone.",genuine,"Calm, open expression",Resting on table,"Upright, attentive","Still, feet flat"
INT-094,Did you tamper with the gear?,"No, it’s intact.","Intermediate tactic: Equipment probe in sabotage case. Setting: secure facility, moderate pressure.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot
INT-095,Who’s the mastermind?,I don’t know any mastermind.,"Advanced tactic: Conspiracy probe in terrorism op. Setting: black site, high stakes.",culprit,"Neutral, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-096,Did you file the report?,"Yes, it’s on record.","Basic tactic: Report verification post-operation. Setting: command post, neutral tone.",genuine,"Relaxed, consistent eye contact","Open, resting on knees","Upright, engaged","Relaxed, uncrossed"
INT-097,Did you contact the target?,"No, I don’t know them.","Intermediate tactic: Contact probe in espionage case. Setting: safe house, moderate pressure.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling feet
INT-098,What’s the operation’s code?,I wasn’t given one.,"Advanced tactic: Code probe in covert op. Setting: black site, confrontational.",culprit,"Tense jaw, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-099,Did you check the perimeter?,"Yes, all secure.","Basic tactic: Perimeter debrief. Setting: field base, neutral tone.",genuine,"Calm, steady gaze",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-100,Are you the mole?,"No, I’m loyal.","Unconventional tactic: Psychological pressure in insider threat case. Setting: undisclosed location, intense scrutiny.",culprit,"Blank stare, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-101,Where were you during the drone strike?,"I was in the mess hall, eating.","Basic tactic: Alibi check after a drone strike on a forward operating base in Kandahar, Afghanistan. Setting: temporary military tent, dusty and noisy environment.",genuine,"Steady eye contact, relaxed expression","Resting on table, open palms","Upright, attentive","Still, feet flat on sandy floor"
INT-102,Did you access the classified files?,"No, my clearance doesn’t allow it.","Intermediate tactic: Probing unauthorized access in a cyber breach at a NATO facility in Brussels. Setting: high-tech server room, sterile and cold.",culprit,"Avoids eye contact, slight lip twitch",Fidgeting with ID badge,"Slouched, arms crossed",Tapping foot on tiled floor
INT-103,Who provided the coordinates?,I don’t know anything about coordinates.,"Advanced tactic: Confrontational intel extraction after an airstrike misfire in Syria. Setting: dimly lit command bunker, tense atmosphere.",culprit,"Tense jaw, microexpression of panic",Clenched fists under table,"Rigid, leaning back","Crossed tightly, twitching"
INT-104,What’s your role in the network?,"I’m just a low-level tech, no big role.","Unconventional tactic: Psychological probing of a suspected mole in a CIA safe house in Istanbul. Setting: cramped apartment, heavy cigarette smoke.",culprit,"Overly neutral, controlled blinking","Steady, gripping chair arms","Overly composed, stiff","Still, aligned symmetrically"
INT-105,Why were you near the embassy?,I was just sightseeing.,"Basic tactic: Routine questioning after suspicious activity near the U.S. Embassy in Nairobi. Setting: local police station, crowded and humid.",genuine,"Relaxed, consistent eye contact",Gesturing naturally,"Leaning forward, engaged","Uncrossed, relaxed on tiled floor"
INT-106,Did you verify the intel?,"Yes, it checked out.","Basic tactic: Post-mission debrief after a recon op in Mosul, Iraq. Setting: dusty field command post, generator humming.",genuine,"Calm, steady gaze",Resting on knees,"Upright, attentive","Still, feet on dirt ground"
INT-107,Did you signal the convoy?,"No, I was on guard duty elsewhere.","Intermediate tactic: Cross-verification after an ambush in Helmand Province. Setting: mobile command vehicle, cramped and hot.",culprit,"Quick glance away, pursed lips",Rubbing thumbs together,"Slouched, defensive",Shifting on metal bench
INT-108,Who authorized the funds transfer?,I just followed orders.,"Advanced tactic: Financial probe in a money laundering case in Dubai. Setting: sleek corporate office, glass walls.",culprit,"Forced smile, fleeting fear",Clasping tightly under desk,"Leaning back, rigid","Crossed, twitching"
INT-109,What’s in the cargo?,Just medical supplies.,"Unconventional tactic: Feigned casual questioning at a port in Karachi, Pakistan. Setting: noisy dockside, smell of salt and oil.",culprit,"Forced smile, rapid blinking",Fidgeting with clipboard,"Slouched, overly casual",Shuffling on concrete
INT-110,Where did you receive training?,"Basic training, Camp Bastion, 2020.","Basic tactic: Background check for a new recruit in Bagram, Afghanistan. Setting: recruitment tent, dusty and loud.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed on dirt floor"
INT-111,Did you meet the informant in Kabul?,"No, I don’t know any informants.","Intermediate tactic: Loyalty test after a leak in a Kabul safe house. Setting: small, dimly lit room, smell of chai.",culprit,"Avoids eye contact, furrowed brow",Rubbing neck nervously,"Slouched, arms crossed",Tapping foot on rug
INT-112,What’s the safe house code?,I wasn’t given any code.,"Advanced tactic: Verification in a covert op in Moscow. Setting: cold, concrete basement, flickering lights.",culprit,"Blank stare, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-113,Why were you off comms in Fallujah?,"Radio battery died, reported it.","Basic tactic: Post-mission debrief after a patrol in Fallujah, Iraq. Setting: dusty command tent, radio chatter.",genuine,"Calm, steady eye contact","Open, resting on table","Upright, attentive","Still, feet on sandy ground"
INT-114,Who else was at the meeting in Sana’a?,"It was just me, no one else.","Intermediate tactic: Conspiracy probe after a terrorist meeting in Yemen. Setting: humid interrogation room, fan creaking.",culprit,"Quick glance down, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shifting on chair
INT-115,Where’s the target’s safe house?,I don’t have that information.,"Advanced tactic: Intel extraction in a hostage crisis in Mogadishu, Somalia. Setting: chaotic command center, radios blaring.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned on concrete"
INT-116,Did you follow SOP in Baghdad?,"Yes, everything by the book.","Basic tactic: Compliance check after a patrol in Baghdad. Setting: military base, hot and dusty.",genuine,"Relaxed, consistent eye contact",Resting calmly,"Upright, engaged","Uncrossed, relaxed"
INT-117,What’s your connection to the cell in Lahore?,I’ve never heard of them.,"Intermediate tactic: Probing affiliations in a terrorism case in Pakistan. Setting: crowded police station, noisy.",culprit,"Avoids eye contact, slight smirk",Clenching fists,"Leaning back, defensive",Tapping rapidly on tiled floor
INT-118,Can you decrypt the intercepted message?,I’m not trained for that.,"Advanced tactic: Technical probe in a cyber espionage case in Seoul. Setting: sterile tech lab, humming servers.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-119,Why were you at the Gaza border?,"I was lost, honest mistake.","Unconventional tactic: Feigned empathy in a trespassing case. Setting: dusty border outpost, tense atmosphere.",culprit,"Forced smile, quick glance away",Fidgeting with ID card,"Slouched, overly casual",Shuffling on dirt
INT-120,What was your role in the Kabul op?,"Standard patrol, nothing special.","Basic tactic: Routine debrief after a patrol in Kabul. Setting: dusty field base, generator noise.",genuine,"Calm, open expression",Resting on knees,"Upright, attentive","Still, feet flat"
INT-121,Did you leak the op plans in Damascus?,"No, I’d never do that.","Intermediate tactic: Loyalty test in a data breach case in Syria. Setting: cramped safe house, smell of diesel.",culprit,"Avoids eye contact, pursed lips",Rubbing hands together,"Slouched, defensive",Tapping foot on rug
INT-122,What’s the extraction plan in Tehran?,I don’t know any details.,"Advanced tactic: Probing a covert operative in Iran. Setting: dark, windowless room, heavy tension.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-123,Did you attend the briefing in Djibouti?,"Yes, routine meeting.","Basic tactic: Verifying attendance in a naval base in Djibouti. Setting: air-conditioned briefing room, salty air.",genuine,"Relaxed, steady gaze",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-124,Who’s your handler in Ankara?,"I work alone, no handler.","Unconventional tactic: Psychological pressure in an espionage case in Turkey. Setting: smoky café, low lighting.",culprit,"Blank stare, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-125,Did you complete the mission in Erbil?,"Yes, as ordered.","Basic tactic: Post-mission debrief in a Kurdish base, Iraq. Setting: dusty command tent, radio chatter.",genuine,"Calm, consistent eye contact",Resting on table,"Upright, attentive","Still, feet on dirt"
INT-126,What’s the source of the funds in Dubai?,"Just my savings, nothing else.","Intermediate tactic: Financial probe in a laundering case in UAE. Setting: sleek hotel conference room, city noise.",culprit,"Forced smile, rapid blinking",Fidgeting with watch,"Slouched, defensive",Shuffling on carpet
